BREAK DATE,BREAK YEAR,X COORD,Y COORD
2/12/1990,1990,300640.868,4836682.128
2/12/1990,1990,299415.375,4842374.496
2/12/1990,1990,324685.458,4849637.963
2/12/1990,1990,314793.118,4846929.859
2/12/1990,1990,302018.560,4835777.071
2/12/1990,1990,317846.388,4834477.392
2/12/1990,1990,326402.918,4845657.227
2/14/1990,1990,329472.890,4849319.255
2/14/1990,1990,330297.326,4846073.982
2/14/1990,1990,328762.931,4844544.935
2/14/1990,1990,314488.006,4850736.344
2/14/1990,1990,314771.924,4834271.252
2/15/1990,1990,301619.330,4838762.630
2/15/1990,1990,307488.565,4839182.314
2/15/1990,1990,307449.526,4839197.695
2/16/1990,1990,309589.376,4847698.572
2/16/1990,1990,309677.196,4845096.032
2/16/1990,1990,301593.860,4835521.389
2/16/1990,1990,304283.979,4834246.385
2/16/1990,1990,299135.051,4834445.787
2/17/1990,1990,310602.066,4840148.571
2/17/1990,1990,299263.092,4841543.486
2/17/1990,1990,325782.318,4844338.966
2/17/1990,1990,317548.951,4834587.333
2/18/1990,1990,297833.134,4844945.467
2/18/1990,1990,323791.136,4844553.463
2/18/1990,1990,325697.824,4845483.681
2/18/1990,1990,310974.422,4842766.209
2/18/1990,1990,301612.549,4833566.397
2/18/1990,1990,304962.658,4835384.611
2/19/1990,1990,309422.243,4844951.647
2/19/1990,1990,328336.445,4847087.502
2/19/1990,1990,305281.529,4842356.217
2/19/1990,1990,317307.181,4843130.810
2/19/1990,1990,325760.848,4842340.762
2/19/1990,1990,316014.882,4843745.421
2/20/1990,1990,316908.085,4844406.880
2/20/1990,1990,312557.526,4845826.752
2/20/1990,1990,319720.800,4844325.783
2/20/1990,1990,300821.820,4837518.595
2/20/1990,1990,309785.524,4847769.041
2/20/1990,1990,323653.600,4842856.060
2/21/1990,1990,301418.383,4843898.241
2/21/1990,1990,300957.712,4841264.835
2/21/1990,1990,305375.987,4832038.987
2/21/1990,1990,310433.218,4842789.401
2/21/1990,1990,302407.710,4835556.899
2/21/1990,1990,320961.981,4844363.456
2/21/1990,1990,304467.765,4845365.006
2/22/1990,1990,307055.752,4834115.657
2/22/1990,1990,305027.637,4842849.086
2/22/1990,1990,307313.035,4843569.301
2/22/1990,1990,302661.364,4834959.838
2/22/1990,1990,307781.729,4841739.814
